,card_id,field_id,date_collected,total_scm,scm_male,scm_female,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,week,year
2226,2144.0,SMI_JOH,2023-04-18,20.0,18.0,2.0,497.0,258.0,239.0,0.04024144869215292,0.008368200836820083,0.06976744186046512,0.2716297786720322,16,2023
2230,2228.0,MIL_CHA,2023-04-18,7.0,1.0,6.0,277.0,157.0,120.0,0.02527075812274368,0.05,0.006369426751592357,0.51985559566787,16,2023
2232,2230.0,MIL_MCC,2023-04-18,20.0,15.0,5.0,439.0,240.0,199.0,0.04555808656036447,0.02512562814070352,0.0625,0.1366742596810934,16,2023
2220,2136.0,SMI_DUR,2023-04-18,63.0,22.0,41.0,1550.0,602.0,948.0,0.04064516129032258,0.043248945147679324,0.036544850498338874,0.22,16,2023
2205,2196.0,WIS_COO,2023-04-19,1.0,1.0,0.0,1367.0,880.0,487.0,0.000731528895391368,0.0,0.0011363636363636363,0.019019751280175565,16,2023
2209,2270.0,ZUE_REE,2023-04-19,8.0,5.0,3.0,2497.0,1359.0,1138.0,0.0032038446135362435,0.0026362038664323375,0.003679175864606328,0.0032038446135362435,16,2023
2207,2198.0,WIS_COO_2,2023-04-19,0.0,0.0,0.0,295.0,206.0,89.0,0.0,0.0,0.0,0.003389830508474576,16,2023
2203,2242.0,DEG_VIL,2023-04-20,19.0,3.0,16.0,836.0,460.0,376.0,0.022727272727272728,0.0425531914893617,0.006521739130434782,0.022727272727272728,16,2023
2201,2240.0,DEG_PER_STRIP,2023-04-20,15.0,8.0,7.0,190.0,106.0,84.0,0.07894736842105263,0.08333333333333333,0.07547169811320754,0.07894736842105263,16,2023
2199,2238.0,DEG_YOU_JONES,2023-04-20,27.0,3.0,24.0,1097.0,521.0,576.0,0.024612579762989972,0.041666666666666664,0.005758157389635317,0.024612579762989972,16,2023
2196,2153.0,STA_HEM_2,2023-04-20,32.0,15.0,17.0,891.0,516.0,375.0,0.03591470258136925,0.04533333333333334,0.029069767441860465,0.11784511784511785,16,2023
2195,2152.0,STA_WIL,2023-04-20,30.0,23.0,7.0,281.0,230.0,51.0,0.10676156583629894,0.13725490196078433,0.1,0.199288256227758,16,2023
2193,2150.0,STA_HEM,2023-04-20,7.0,3.0,4.0,1309.0,715.0,594.0,0.0053475935828877,0.006734006734006734,0.004195804195804196,0.060351413292589765,16,2023
2191,2148.0,STA_SWE,2023-04-20,3.0,2.0,1.0,366.0,297.0,69.0,0.00819672131147541,0.014492753623188406,0.006734006734006734,0.013661202185792351,16,2023
2189,2146.0,STA_COL,2023-04-20,6.0,3.0,3.0,720.0,532.0,188.0,0.008333333333333333,0.015957446808510637,0.005639097744360902,0.013888888888888888,16,2023
2171,2200.0,WIS_MEG,2023-04-21,15.0,10.0,5.0,251.0,124.0,127.0,0.05976095617529881,0.03937007874015748,0.08064516129032258,0.20318725099601595,16,2023
2173,2202.0,WIS_HIG,2023-04-21,2.0,2.0,0.0,160.0,98.0,62.0,0.0125,0.0,0.02040816326530612,0.018750000000000003,16,2023
2175,2204.0,WIS_KEN,2023-04-21,12.0,8.0,4.0,448.0,296.0,152.0,0.026785714285714284,0.02631578947368421,0.02702702702702703,0.09151785714285715,16,2023
2177,2244.0,DEG_DIE_SWC,2023-04-21,38.0,9.0,29.0,223.0,110.0,113.0,0.17040358744394618,0.25663716814159293,0.08181818181818182,0.17040358744394618,16,2023
2179,2246.0,DEG_DIE_HILL,2023-04-21,38.0,23.0,15.0,1157.0,731.0,426.0,0.032843560933448576,0.035211267605633804,0.03146374829001368,0.032843560933448576,16,2023
2181,2248.0,DEG_YOU_BOCES,2023-04-21,150.0,17.0,133.0,639.0,344.0,295.0,0.2347417840375587,0.45084745762711864,0.04941860465116279,0.2347417840375587,16,2023
2183,2250.0,DEG_YOU_OSHEA,2023-04-21,21.0,6.0,15.0,610.0,262.0,348.0,0.03442622950819672,0.04310344827586207,0.022900763358778626,0.03442622950819672,16,2023
2185,2252.0,DEG_FOU_WOOD,2023-04-21,59.0,28.0,31.0,436.0,235.0,201.0,0.1353211009174312,0.15422885572139303,0.11914893617021277,0.1353211009174312,16,2023
2187,2294.0,SEA_HOO,2023-04-21,39.0,11.0,28.0,2273.0,1338.0,935.0,0.01715794104707435,0.029946524064171122,0.008221225710014948,0.01715794104707435,16,2023
2135,2164.0,KAT_JEF,2023-04-24,1.0,1.0,0.0,109.0,62.0,47.0,0.009174311926605505,0.0,0.016129032258064516,0.027522935779816515,17,2023
2137,2166.0,KAT_JEF_2,2023-04-24,0.0,0.0,0.0,109.0,60.0,49.0,0.0,0.0,0.0,0.05504587155963303,17,2023
2139,2168.0,KAT_BAR,2023-04-24,120.0,49.0,71.0,769.0,226.0,543.0,0.15604681404421328,0.13075506445672191,0.2168141592920354,0.19245773732119636,17,2023
2141,2170.0,KAT_SAU,2023-04-24,46.0,23.0,23.0,273.0,142.0,131.0,0.1684981684981685,0.17557251908396945,0.1619718309859155,0.6666666666666667,17,2023
2143,2172.0,KAT_SAU_2,2023-04-24,41.0,14.0,27.0,302.0,107.0,195.0,0.1357615894039735,0.13846153846153847,0.1308411214953271,0.4105960264900662,17,2023
2145,2174.0,KAT_TEE,2023-04-24,44.0,6.0,38.0,173.0,78.0,95.0,0.2543352601156069,0.4,0.07692307692307693,0.3121387283236994,17,2023
2147,2176.0,KAT_TEE_2,2023-04-24,20.0,8.0,12.0,445.0,211.0,234.0,0.0449438202247191,0.05128205128205128,0.037914691943127965,0.04943820224719101,17,2023
2149,2206.0,LET_TAB,2023-04-24,93.0,49.0,44.0,465.0,281.0,184.0,0.2,0.2391304347826087,0.17437722419928825,0.25591397849462366,17,2023
2165,2504.0,SMI_KEL,2023-04-24,1.0,0.0,1.0,328.0,147.0,181.0,0.003048780487804878,0.0055248618784530384,0.0,0.1798780487804878,17,2023
