,id,container_number,project,number_seeds,total_scm_maggots,collection_date,record_id,seed_type,total_scm_pupae,number_wireworm,total_phorid_maggots,scm_seeds,other_seeds
210,3964,4784,R,8.0,0.0,6/2/23,DIP_CUR,Bean,1,0.0,0.0,0.0,2.0
211,4708,4785,R,9.0,0.0,5/26/23,STA_SWE,Corn,0,0.0,0.0,0.0,0.0
212,4702,4786,R,10.0,0.0,5/26/23,STA_SWE,Bean,0,0.0,0.0,0.0,1.0
213,3439,4797,R,9.0,0.0,5/26/23,MIL_YOD,Bean,5,0.0,0.0,0.0,1.0
214,3955,4798,R,11.0,1.0,5/26/23,MIL_CHA,Bean,0,0.0,0.0,1.0,4.0
215,3943,4799,R,10.0,0.0,5/26/23,MIL_MCC,Corn,0,0.0,0.0,0.0,3.0
216,3946,4800,R,4.0,0.0,5/26/23,MIL_MCC,Bean,0,0.0,0.0,0.0,0.0
217,3415,4801,R,10.0,0.0,5/26/23,MIL_CHA,Corn,0,0.0,0.0,0.0,0.0
218,3925,4802,R,10.0,0.0,5/26/23,MIL_YOD,Corn,0,0.0,0.0,0.0,0.0
219,4687,4827,R,10.0,0.0,5/31/23,STA_HEM,Corn,0,0.0,0.0,0.0,0.0
220,4696,4828,R,10.0,5.0,5/31/23,STA_HEM,Bean,1,0.0,0.0,2.0,2.0
221,3421,4829,R,10.0,0.0,5/31/23,STA_HEM_2,Corn,0,0.0,0.0,0.0,3.0
222,3424,4830,R,10.0,0.0,5/31/23,STA_HEM_2,Bean,0,0.0,0.0,0.0,0.0
223,4714,4908,R,10.0,0.0,5/31/23,SMI_HOF,Corn,0,0.0,0.0,0.0,0.0
224,3403,4909,R,9.0,0.0,5/30/23,SMI_COB,Bean,0,0.0,0.0,0.0,0.0
225,4732,4910,R,10.0,0.0,5/30/23,SMI_COB,Corn,0,0.0,0.0,0.0,0.0
226,3391,4911,R,10.0,0.0,5/31/23,SMI_JOH_2,Bean,0,1.0,0.0,0.0,1.0
227,4240,4912,R,8.0,0.0,5/31/23,SMI_LAT,Bean,4,0.0,0.0,0.0,2.0
228,3163,4913,R,10.0,0.0,5/30/23,SMI_HOL,Bean,0,0.0,0.0,0.0,0.0
229,3157,4914,R,10.0,0.0,5/31/23,SMI_JOH,Corn,0,0.0,0.0,0.0,2.0
230,3400,4915,R,10.0,0.0,5/31/23,SMI_LAT,Corn,0,0.0,0.0,0.0,0.0
231,3607,4916,R,9.0,0.0,5/30/23,SMI_HOL,Corn,0,0.0,0.0,0.0,0.0
232,4315,4917,R,8.0,0.0,5/31/23,SMI_HOF,Bean,0,0.0,0.0,0.0,0.0
233,4312,4918,R,10.0,0.0,6/1/23,LET_NOB,Bean,0,0.0,0.0,0.0,1.0
234,4300,4919,R,10.0,0.0,5/31/23,SMI_CAN,Bean,0,0.0,0.0,0.0,2.0
235,3625,4920,R,10.0,0.0,5/30/23,SMI_MCC,Bean,1,0.0,0.0,0.0,0.0
236,3187,4921,R,10.0,0.0,6/1/23,LET_NOB,Corn,0,0.0,0.0,0.0,2.0
237,4237,4922,R,10.0,0.0,5/30/23,SMI_MCC,Corn,0,0.0,0.0,0.0,0.0
238,3148,4923,R,10.0,0.0,5/30/23,SMI_DOU,Bean,0,0.0,0.0,0.0,0.0
239,3457,4924,R,10.0,0.0,5/31/23,SMI_CAN,Corn,0,0.0,0.0,0.0,0.0
240,3460,4925,R,10.0,0.0,5/31/23,SMI_JOH_2,Corn,0,0.0,0.0,0.0,0.0
241,3463,4926,R,6.0,0.0,5/31/23,SMI_JOH,Bean,0,0.0,0.0,0.0,4.0
242,2923,4927,R,10.0,0.0,5/30/23,SMI_CRO,Corn,0,0.0,0.0,0.0,1.0
243,3610,4928,R,10.0,0.0,5/31/23,SMI_DUR,Corn,0,0.0,0.0,0.0,0.0
244,4309,4929,R,10.0,0.0,5/30/23,SMI_KEL,Bean,0,0.0,0.0,0.0,1.0
245,3142,4930,R,9.0,0.0,5/31/23,SMI_DUR,Bean,0,0.0,0.0,0.0,3.0
246,3604,4931,R,9.0,0.0,5/31/23,SEA_HOO,Bean,0,0.0,0.0,0.0,2.0
247,3585,4932,R,10.0,3.0,5/31/23,SEA_HOO,Bean,0,0.0,0.0,1.0,0.0
248,4288,4933,R,10.0,0.0,5/30/23,SMI_DOU,Corn,0,0.0,0.0,0.0,0.0
249,3388,4934,R,10.0,0.0,5/30/23,SMI_KEL,Corn,0,0.0,0.0,0.0,0.0
250,3577,4935,R,10.0,0.0,5/30/23,SMI_CRO,Bean,0,0.0,0.0,0.0,0.0
251,2434,5005,R,10.0,0.0,5/15/23,SMI_HOF,Bean,0,0.0,0.0,0.0,2.0
252,3130,5006,R,10.0,0.0,6/5/23,LABWIS1,Bean,0,0.0,0.0,0.0,1.0
253,3394,5007,R,7.0,0.0,6/2/23,WIS_KEN,Bean,0,0.0,0.0,0.0,0.0
254,4327,5008,R,10.0,0.0,6/2/23,WIS_MEG,Corn,0,0.0,0.0,0.0,0.0
255,3598,5009,R,6.0,0.0,5/31/23,WIS_COO_2,Corn,0,0.0,0.0,0.0,0.0
256,3382,5010,R,10.0,0.0,5/31/23,WIS_COO_2,Bean,0,1.0,0.0,0.0,4.0
257,4726,5011,R,8.0,0.0,5/31/23,WIS_COO,Bean,3,0.0,0.0,0.0,4.0
258,4723,5012,R,10.0,0.0,5/31/23,WIS_COO,Corn,0,0.0,0.0,0.0,1.0
259,3601,5013,R,6.0,0.0,5/31/23,WIS_KEN,Corn,0,0.0,0.0,0.0,0.0
260,3574,5014,R,1.0,0.0,6/5/23,LABWIS1,Bean,0,0.0,0.0,0.0,0.0
261,5182,5033,R,10.0,0.0,6/6/23,DIP_FLE,Corn,0,0.0,0.0,0.0,3.0
262,5227,5034,R,10.0,0.0,6/6/23,DIP_FLE,Bean,0,0.0,0.0,0.0,0.0
263,5038,5095,R,8.0,0.0,6/9/23,MIL_YOD,Bean,0,0.0,0.0,0.0,2.0
264,5044,5096,R,10.0,0.0,6/9/23,MIL_YOD,Corn,0,0.0,0.0,0.0,0.0
265,5005,5097,R,9.0,0.0,6/9/23,MIL_MCC,Bean,0,0.0,0.0,0.0,1.0
266,5047,5098,R,10.0,0.0,6/9/23,MIL_CHA,Bean,0,0.0,0.0,0.0,0.0
267,5065,5099,R,12.0,0.0,6/9/23,MIL_CHA,Corn,0,0.0,0.0,0.0,0.0
268,5083,5100,R,10.0,0.0,6/9/23,MIL_MCC,Corn,0,0.0,0.0,0.0,0.0
269,5014,5103,R,11.0,0.0,6/13/23,STA_WIL,Bean,0,0.0,0.0,0.0,0.0
270,5068,5104,R,10.0,0.0,6/13/23,STA_COL,Corn,0,0.0,0.0,0.0,0.0
271,5011,5108,R,10.0,0.0,6/13/23,STA_WIL,Corn,0,0.0,0.0,0.0,0.0
272,5029,5109,R,10.0,0.0,6/12/23,SMI_CAN,Bean,0,0.0,0.0,0.0,2.0
273,5431,5110,R,10.0,0.0,6/12/23,SMI_CAN,Corn,0,1.0,0.0,0.0,0.0
274,5017,5111,R,10.0,0.0,6/14/23,SMI_HOF,Corn,0,0.0,0.0,0.0,0.0
275,5434,5112,R,10.0,0.0,6/14/23,SMI_HOF,Bean,0,0.0,0.0,0.0,0.0
276,5002,5113,R,10.0,0.0,6/12/23,SMI_KEL,Bean,0,0.0,0.0,0.0,4.0
277,5095,5114,R,10.0,0.0,6/12/23,SMI_KEL,Corn,0,0.0,0.0,0.0,0.0
278,5033,5115,R,,2.0,6/13/23,SMI_JOH_2,Bean,0,0.0,0.0,0.0,4.0
279,5101,5116,R,10.0,0.0,6/13/23,SMI_JOH_2,Corn,0,0.0,0.0,0.0,0.0
280,5041,5117,R,10.0,0.0,6/12/23,SMI_HOL,Bean,0,0.0,0.0,0.0,2.0
281,5035,5118,R,10.0,0.0,6/12/23,SMI_HOL,Corn,0,0.0,0.0,0.0,1.0
