Field ID,Date Collected,N.SCM.M.1,N.SCM.F.1,N.SCM.M.2,N.SCM.F.2,N.D.Florilega.1,N.D.Florilega.2
DIP_CUR,5/1/24,4,4,4,5,2,0
DIP_CUR,5/7/24,5,8,20,3,3,3
DIP_CUR,5/7/24,,,,,,
DIP_CUR,5/14/24,27,43,9,9,3,1
DIP_CUR,5/14/24,,,,,,
DIP_CUR,5/21/24,22,18,10,17,4,5
DIP_CUR,5/21/24,,,,,,
DIP_CUR,5/28/24,,,,,,
DIP_CUR,5/28/24,25,19,36,21,1,5
DIP_CUR,6/4/24,,,,,,
DIP_CUR,6/4/24,77,72,114,85,20,9
DIP_CUR,6/11/24,,,,,,
DIP_CUR,6/11/24,182,122,94,67,78,60
DIP_CUR,6/17/24,,,,,,
DIP_CUR,6/17/24,77,79,74,58,32,16
DIP_CUR,6/25/24,,,,,,
DIP_CUR,6/25/24,38,25,26,19,23,17
DIP_CUR,7/2/24,,,,,,
DIP_CUR,7/2/24,93,45,50,22,14,11
DIP_CUR,7/9/24,,,,,,
DIP_CUR,7/9/24,11,8,4,4,3,1
DIP_CUR,7/15/24,,,,,,
DIP_CUR,7/15/24,0,0,0,0,0,0
DIP_CUR,7/23/24,,,,,,
DIP_CUR,7/23/24,3,3,12,3,0,1
DIP_CUR,7/30/24,1,6,19,19,3,4
DIP_CUR,7/30/24,,,,,,
DIP_CUR,8/6/24,3,4,1,4,0,0
DIP_CUR,8/6/24,,,,,,
DIP_CUR,8/13/24,1,12,0,2,3,1
DIP_CUR,8/13/24,,,,,,
DIP_CUR,8/20/24,2,3,2,4,1,2
DIP_CUR,8/20/24,,,,,,
DIP_CUR,8/27/24,4,8,0,0,4,0
DIP_CUR,8/27/24,,,,,,
DIP_CUR,9/3/24,0,1,0,1,0,0
DIP_CUR,9/3/24,,,,,,
DIP_CUR,9/10/24,0,0,0,0,0,0
DIP_CUR,9/10/24,,,,,,
DIP_CUR,9/17/24,7,2,5,1,6,2
DIP_CUR,9/17/24,,,,,,
DIP_CUR,9/24/24,6,0,9,1,0,7
DIP_CUR,9/24/24,,,,,,
DIP_CUR,10/1/24,75,4,15,2,12,5
DIP_CUR,10/1/24,,,,,,
DIP_CUR,10/8/24,,,,,,
DIP_CUR,10/8/24,0,0,5,2,2,3
DIP_CUR,10/15/24,5,3,4,4,0,1
DIP_CUR,10/15/24,,,,,,
DIP_CUR,10/22/24,,,,,,
DIP_CUR,10/22/24,4,3,3,2,0,1
DIP_CUR,10/29/24,1,0,0,1,0,0
DIP_CUR,10/29/24,,,,,,
DIP_CUR,11/5/24,,,,,,
DIP_CUR,11/5/24,1,2,0,0,1,0
DIP_CUR,11/12/24,3,1,1,0,0,0
DIP_CUR,11/12/24,,,,,,
DIP_CUR,11/18/24,,,,,,
DIP_CUR,11/18/24,1,0,0,0,0,0
DIP_CUR,11/26/24,0,0,0,0,0,0
DIP_CUR,11/26/24,,,,,,
DIP_CUR,12/3/24,,,,,,
DIP_CUR,12/3/24,0,0,0,0,0,0
DIP_FLE,3/12/24,,,,,,
DIP_FLE,3/12/24,3,1,3,0,0,0
DIP_FLE,3/19/24,,,,,,
DIP_FLE,3/19/24,0,0,0,1,0,0
DIP_FLE,3/26/24,,,,,,
DIP_FLE,3/26/24,0,0,0,0,0,0
DIP_FLE,4/2/24,3,0,4,2,0,0
DIP_FLE,4/2/24,,,,,,
