Collection Date,Country/Ocean,Farm,State/Province,Latitude,Longitude,Type of collection (select from the menu),Host plant,N° of subsample (if any),Sample weight (gr),SWD pupae,SWD,L. japonica,G. kimorum,Other parasitoids,Other drosophilid pupae,Other drosophilid,L. japonica,Other parasitoids ,Notes (if any)
12-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°40'596""N","74°36'997""W",Fruit from plant,Highbush Blueberry,,1.324,,7,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Nesco,New Jersey,"39°35'823""N","74°38'092""W",Fruit from plant,American Holly,,23.862,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Nesco,New Jersey,"39°36'598""N","74°37'007""W",Fruit from plant,Highbush Blueberry,,18.607,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Nesco,New Jersey,"39°36'612""N","74°38'585""W",Fruit from plant,Highbush Blueberry,,4.809,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39°42'809""N","74°44'815""W",Fruit from plant,Highbush Blueberry (D),,8.639,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39°42'811""N","74°44'824""W",Fruit from plant,Highbush Blueberry (D),,8.891,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39°42'828""N","74°44'813""W",Fruit from plant,Highbush Blueberry,,22.401,,9,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Home,New Jersey,"39°47'677""N","74°45'075""W",Fruit from plant,Blackberry,,6.598,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Home,New Jersey,"39°46'861""N","74°45'814""W",Fruit from plant,Highbush Blueberry,,23.852,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC - Home,New Jersey,"39°32'470""N","74°49'430""W",Fruit from plant,Highbush Blueberry,,29.555,,3,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC - Home,New Jersey,"39°34'540""N","74°49'440""W",Fruit from plant,Highbush Blueberry,,28.517,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC-Mays Landing,New Jersey,"39°30'464""N","74°39'943""W",Fruit from plant,Lowbush Blueberry,,9.845,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC-Mays Landing,New Jersey,"39°30'559""N","74°39'959""W",Fruit from plant,Highbush Blueberry,,8.964,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC-Mays Landing,New Jersey,"39°30'396""N","74°39'979""W",Fruit from plant,Highbush Blueberry,,17.484,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Little Buck,New Jersey,"39°40'612""N","74°41'585""W",Fruit from plant,Blackberry,,25.41,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Little Buck,New Jersey,"39°40'773""N","74°41'775""W",Fruit from plant,Lowbush Blueberry,,2.896,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Denny Doyle,New Jersey,"39°56'564""N","74°37'009""W",Fruit from plant,Highbush Blueberry,,23.987,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Denny Doyle,New Jersey,"39°56'553""N","74°37'001""W",Fruit from plant,Highbush Blueberry,,9.353,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Denny Doyle,New Jersey,"39°57'198""N","74°37'211""W",Fruit from plant,Highbush Blueberry,,9.064,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Fred Miller,New Jersey,"39°47'919""N","74°48'022""W",Fruit from plant,Lowbush Blueberry,,6.726,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Fred Miller,New Jersey,"39°49'169""N","74°48'031""W",Fruit from plant,Lowbush Blueberry,,11.11,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Fred Miller,New Jersey,"39°49'825""N","74°48'099""W",Fruit from plant,Highbush Blueberry,,9.147,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Haines Blueberry Farm,New Jersey,"39°46'063""N","74°45'237""W",Fruit from plant,Highbush Blueberry,,20.419,,0,0,0,0,0,0,0,0,
