Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
STA_COL,,,,,,"-1","0","0",,,"6574","0","3025","0","572","0","1","0","2859","0","2","9","0","0","3505","365","1","6","1091","18","0","4","5","16","545","0","0","0","17","0","195","5","12","271","7","25","0","467","5440","2757","773","79","58","10859","224","1814","28","9918","6795","121","16","0","3","0","0","0","40","0","11","0","13","156","0"
WIS_COO_2,,,,,,"-1","0","0",,,"4161","0","899","0","7","0","13","0","0","0","6","102","0","0","1322","1498","0","0","0","0","0","6","1","0","0","0","0","0","4","0","819","0","0","30","2","0","0","131","1494","1340","368","89","26","27580","849","1138","53","10309","3913","86","0","0","0","0","0","0","0","0","0","3","0","0","0"
WIS_COO,,,,,,"-1","0","0",,,"6114","0","2009","2","6","0","16","0","457","0","6","94","0","0","2830","3042","0","0","0","0","0","0","0","0","0","0","0","0","20","0","649","0","0","64","0","0","3","269","1520","1112","265","67","10","19889","255","839","25","14225","2354","160","1","0","0","0","0","0","0","0","0","5","0","0","0"
LET_NOB,,,,,,"-1","0","0",,,"22542","93","4656","0","40","0","0","0","1983","0","0","14","0","0","11490","550","0","2","457","4","0","0","0","3","229","0","0","0","8","0","48","0","0","3","1","5","0","35","2078","594","288","47","39","8348","6","316","29","2806","1287","24","4","0","0","0","0","0","0","0","52","0","2","10","0"
LET_TAB,,,,,,"-1","0","0",,,"13171","0","232","0","12","0","0","0","831","0","0","19","0","0","15097","449","8","0","57","11","0","0","12","0","10","0","0","0","12","0","51","0","3","1","2","3","0","342","3113","681","187","52","33","13720","1268","4649","23","1821","1212","244","1","2","0","0","0","0","0","0","349","1","0","6","0"
WIS_HIG,,,,,,"-1","0","0",,,"59","0","9","0","6","0","1","0","2","0","0","2","0","0","50","105","0","0","0","0","0","11","0","0","0","0","0","0","2","4","267","0","13","443","0","2","0","6995","2724","2548","2251","770","101","29747","600","913","24","3182","4722","526","0","0","0","0","0","0","0","0","0","0","0","0","0"
WIS_MEG,,,,,,"-1","0","0",,,"1580","4","733","0","243","0","852","0","9","0","44","97","0","0","505","1834","1","0","0","4","0","2","2","0","42","0","4","0","7","20","246","0","0","115","0","0","9","299","3724","5481","3184","641","50","20888","415","747","22","11250","3390","57","0","0","0","0","0","0","0","0","0","28","2","0","0"
WIS_KEN,,,,,,"-1","0","0",,,"199","4","47","1","12","0","34","0","3","0","5","12","0","0","79","202","0","2","0","0","0","78","0","0","0","5","0","0","3","5","422","0","23","4658","2","0","30","9074","4592","4800","4151","3044","87","13628","47","369","43","7768","1776","718","0","0","0","3","3","0","6","0","0","0","0","0","0"
ZUE_REE,,,,,,"-1","0","0",,,"5802","0","7526","0","21","0","0","0","3191","3","4","132","0","182","3737","616","0","0","87","0","0","0","1","0","1","0","0","0","62","0","98","5","0","524","272","6","0","21240","1345","1129","230","12","11","5832","58","720","5","3783","819","75","4","0","0","0","0","0","0","0","0","3","2","410","0"
DEG_PER_STRIP,,,,,,"-1","0","0",,,"7932","5","890","0","25","0","2","3","259","0","10","30","0","0","4906","4705","0","0","9","2","0","0","0","0","0","0","0","0","38","0","33","0","0","2","0","0","12","55","2132","789","142","9","33","23888","451","1512","36","9027","718","40","5","0","0","0","0","0","1","0","35","2","6","0","0"
DEG_FOU_WOOD,,,,,,"-1","0","0",,,"11773","0","344","0","8","0","0","0","139","0","51","24","0","0","7264","6706","0","0","5","2","0","0","0","0","0","0","0","0","31","0","21","0","0","1","7","12","3","41","2354","1498","265","22","19","12693","510","1402","66","11026","1190","70","15","0","0","0","0","0","0","0","0","0","9","0","0"
DEG_DIE_HILL,,,,,,"-1","0","0",,,"4095","9","614","2","45","0","0","0","32","0","4","20","0","0","1660","3506","0","0","7","0","2","0","3","0","0","0","0","0","16","0","34","0","0","1","6","5","9","1237","3278","5570","5560","1951","561","15877","546","1401","100","10067","1200","176","7","0","0","0","0","3","0","0","0","0","11","2","0"
