Latitude,Longitude,Site ID,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_216,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244,VALUE_249
43.053024000000001,-74.835234999999997,SMI_DOU,"110","0","158","0","0","0","0","0","0","0","0","0","0","3","0","1","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","149","15","4","3","0","622","15","15","0","2305","21","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
42.344444000000003,-75.713333000000006,SMI_HOF_1,"94","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","74","135","35","4","0","30","658","52","1054","0","1057","22","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.750999999999998,-74.570971999999998,SMI_HOF_2,"506","0","48","0","1","0","0","0","0","0","0","0","13","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","116","29","9","1","0","978","145","67","0","1359","176","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
42.709361000000001,-75.568416999999997,SMI_LAT,"108","0","1","1","0","0","0","0","0","0","0","0","30","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","106","18","1","0","2","1114","327","257","0","1334","155","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
43.115278000000004,-74.842194000000006,SMI_MCC,"32","0","116","0","3","0","0","0","0","0","0","0","154","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127","41","7","0","0","760","18","6","0","2132","36","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0"
42.892139000000000,-77.571167000000003,STA_BLO,"279","0","317","0","0","0","0","0","110","0","1","0","0","0","0","0","0","0","0","126","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","51","188","12","1","1","0","926","11","105","0","1020","298","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.806860999999998,-76.816666999999995,STA_FRE,"218","0","1132","0","2","0","7","0","640","0","0","16","86","1","0","71","0","3","0","7","0","0","1","0","0","0","0","0","0","0","2","0","0","37","0","2","0","0","134","109","42","4","16","144","0","8","0","733","38","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","5"
43.049388999999998,-77.566556000000006,STA_KRE,"52","0","44","0","1","0","0","0","8","0","0","0","0","0","0","38","74","0","0","8","0","1","0","0","0","0","0","0","3","0","481","1","7","4","63","3","0","75","425","434","122","3","27","405","52","274","54","288","287","224","9","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
42.764167000000000,-77.735777999999996,STA_MAC,"545","0","15","0","0","0","1","0","335","0","0","0","0","0","0","321","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","154","160","57","9","0","0","1187","1","36","0","618","12","7","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
42.728222000000002,-77.041360999999995,STA_MAR,"1144","2","744","0","0","0","7","0","429","3","2","10","0","0","9","514","3","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","93","10","7","2","3","106","0","0","0","351","3","0","3","0","0","0","0","1","0","0","0","20","0","0","0","0","1"
43.129694000000001,-76.779167000000001,STA_REE_1,"855","0","537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","147","16","1","3","0","596","0","6","0","531","729","26","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
43.096972000000001,-76.786833000000001,STA_REE_2,"728","1","292","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","12","191","11","1","0","0","870","25","22","0","289","970","38","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
43.123860999999998,-78.214777999999995,STA_STA,"670","0","275","0","0","0","0","1","103","0","1","0","0","0","0","4","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","26","68","24","8","0","0","548","0","21","0","143","1493","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
43.064667000000000,-76.825444000000005,STA_WIL,"158","0","1250","0","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","202","92","13","3","6","794","16","36","0","388","369","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
43.312722000000001,-78.365832999999995,STA_WOO,"592","75","396","0","14","0","0","0","0","0","0","1","0","0","0","461","1","0","6","12","0","0","0","0","41","0","0","0","2","0","11","0","483","0","10","2","0","0","153","45","9","0","5","585","7","37","0","474","45","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0"
43.019944000000002,-78.189806000000004,ZUE_MYT,"272","0","15","0","0","0","0","0","88","0","0","0","13","0","0","95","0","4","74","19","28","0","1","0","1","4","0","0","0","0","7","0","0","0","0","0","0","17","315","557","430","195","73","254","3","32","0","582","373","10","0","1","3","0","0","1","0","0","0","0","0","0","0","2","0"
42.625784000000003,-77.558704000000006,ZUE_VOT,"371","0","74","0","0","0","0","0","18","0","0","0","92","0","0","81","19","0","1","73","16","0","1","0","0","16","0","0","3","0","5","0","0","0","0","0","0","5","248","18","3","0","0","1426","116","331","0","524","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
