latitude,longitude
43.268,-81.193
42.181,-82.901
43.086,-81.021
43.161,-84.837
43.199,-81.152
43.962,-81.308
45.209,-73.907
42.931,-81.692
42.907,-81.722
42.996,-81.743
42.878,-81.749
42.154,-82.755
44.851,-76.346
43.734,-80.355
43.735,-80.358
43.725,-80.317
43.031,-81.207
41.921,-86.128
43.643,-81.621
42.983,-81.948
42.961,-81.997
42.971,-81.948
43.003,-82.019
42.86,-81.455
41.919,-85.68
42.63,-81.522
42.257,-82.653
45.56,-76.406
41.993,-85.926
44.954,-76.297
42.704,-81.694
42.995,-80.239
42.304,-82.115
43.09,-80.311
45.019,-83.641
45.102,-83.888
42.226,-82.172
42.216,-82.169
45.067,-83.773
45.052,-83.716
42.848,-81.164
42.848,-81.165
42.675,-81.348
43.195,-80.341
45.386,-63.463
43.091,-80.043
43.004,-80.382
45.299,-83.822
45.29,-83.815
45.342,-84.111
42.522,-81.775
45.296,-84.246
44.932,-83.535
42.89,-80.232
45.219,-83.662
45.828,-63.611
45.207,-83.881
44.991,-83.92
42.917,-80.259
44.975,-83.767
45.623,-73.7
45.746,-73.954
45.04,-75.702
41.953,-85.337
42.883,-82.189
42.926,-82.219
44.293,-81.033
44.038,-77.397
44.075,-77.419
45.184,-74.927
46.036,-61.428
45.238,-75.841
41.934,-85.082
44.035,-81.31
44.178,-80.865
43.134,-79.494
42.995,-81.743
42.879,-81.748
45.104,-75.147
43.992,-80.99
44.172,-81.023
43.999,-80.765
44.491,-80.63
45.813,-86.553
45.806,-86.548
45.131,-75.443
45.76,-86.605
45.337,-75.179
45.167,-75.735
45.21,-75.796
45.143,-75.478
43.051,-81.548
43.922,-81.2
44.121,-81.627
44.104,-80.765
42.729,-81.617
45.177,-75.661
42.61,-81.98
45.243,-87.601
44.479,-77.344
43.688,-81.329
44.229,-76.772
42.092,-82.513
42.045,-82.576
42.203,-82.504
42.205,-82.551
43.826,-81.155
44.236,-76.896
44.159,-76.972
44.27,-76.937
42.843,-81.014
43.078,-80.418
44.216,-76.852
44.223,-76.842
44.047,-81.248
42.045,-82.891
43.522,-84.767
45.336,-83.751
45.408,-83.938
43.623,-84.887
42.929,-80.885
45.23,-83.742
42.153,-82.755
43.722,-80.316
45.69,-86.648
45.679,-86.698
45.315,-74.495
42.681,-81.289
45.499,-73.585
43.247,-81.242
43.567,-80.525
42.115,-85.375
43.512,-80.601
45.306,-76.205
45.31,-76.197
43.649,-80.578
43.019,-81.133
43.664,-80.539
