Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_56,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_219,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
WIS_COO_2,,,,,,"-1","0","0",,,"1497","1","915","0","0","0","0","0","0","0","31","4","0","0","1164","1204","0","0","0","0","0","5","1","0","0","0","13","0","822","0","0","27","0","0","0","70","600","659","192","52","11","11448","208","372","22","3663","1941","69","1","0","0","0","0","0","3","0","0","0"
WIS_COO,,,,,,"-1","0","0",,,"3131","0","861","0","2","0","0","55","0","0","31","1","0","0","1726","2035","0","0","0","0","0","2","0","0","0","0","21","0","266","0","0","50","0","0","3","182","579","504","80","18","3","8352","131","438","28","5577","928","21","3","0","0","0","0","0","0","0","0","0"
LET_NOB,,,,,,"-1","0","0",,,"9853","3","1268","0","661","0","0","1006","0","0","0","1","0","2","4837","371","0","0","129","1","0","0","0","0","9","0","0","0","8","0","0","3","0","0","0","19","959","177","95","21","15","4105","5","225","2","1516","508","12","1","2","0","2","0","2","0","0","0","0"
LET_TAB,,,,,,"-1","0","0",,,"6894","3","135","0","7","0","0","42","0","0","0","3","0","0","9556","214","0","0","136","3","0","0","3","0","19","0","1","0","7","0","0","1","3","1","0","24","1191","174","44","32","11","3928","266","1426","8","825","113","5","540","0","0","5","0","19","0","0","0","0"
WIS_HIG,,,,,,"-1","0","0",,,"50","0","13","0","0","0","0","0","0","0","4","0","0","0","50","131","0","0","0","0","0","16","0","0","0","0","0","2","880","0","12","298","0","5","0","254","1185","1263","1091","402","79","14807","176","722","16","1837","1578","53","0","0","0","0","0","0","1","0","0","0"
WIS_MEG,,,,,,"-1","0","0",,,"1466","10","249","0","145","28","0","8","0","0","243","43","4","0","193","1290","1","0","0","0","0","2","2","0","12","4","1","0","209","0","0","64","0","0","0","203","1973","3221","1852","399","29","7048","117","293","31","4885","1058","26","0","0","0","0","0","0","13","2","0","0"
WIS_KEN,,,,,,"-1","0","0",,,"100","0","17","0","7","0","0","0","0","0","9","5","0","0","66","128","0","0","0","0","0","80","2","0","0","0","2","1","359","0","1","373","0","0","0","5701","1448","1841","1647","1022","42","6997","20","105","21","3911","581","375","0","0","0","0","0","0","0","0","0","0"
ZUE_REE,,,,,,"-1","0","0",,,"3920","0","2593","0","21","0","0","1429","0","0","8","52","0","267","1024","274","1","0","280","2","0","2","0","0","0","0","18","2","6","2","3","507","156","3","0","8136","566","553","110","6","7","3113","11","289","26","1549","362","42","4","1","0","0","2","0","0","2","407","0"
DEG_PER_STRIP,,,,,,"-1","0","0",,,"3136","2","561","0","5","0","0","287","0","0","0","15","0","0","2552","1433","1","0","6","0","0","0","0","0","0","0","11","0","3","0","0","0","0","0","0","1","906","422","61","6","9","11268","273","934","27","3386","328","20","0","0","0","0","0","0","8","3","0","0"
DEG_FOU_WOOD,,,,,,"-1","0","0",,,"6550","0","163","0","1","0","0","128","0","0","75","3","0","0","3375","3134","0","0","8","0","0","0","0","0","0","0","24","0","10","0","0","0","0","16","1","5","1093","631","131","7","4","4718","292","590","14","4095","491","25","3","0","0","0","0","0","1","0","0","0"
DEG_DIE_HILL,,,,,,"-1","0","0",,,"2516","5","170","0","33","2","1","24","0","0","4","1","0","3","1337","1378","3","0","8","1","0","2","4","0","0","0","41","0","26","0","0","3","3","2","0","1065","1315","2943","2639","997","206","5373","199","483","36","4220","434","108","7","1","0","0","0","9","0","0","0","0"
DEG_DIE_SWC,,,,,,"-1","0","0",,,"3929","0","153","4","2","8","0","104","0","0","4","4","2","0","922","1572","0","0","5","0","0","0","0","0","2","0","2","0","17","0","0","0","2","7","0","46","1205","517","155","36","27","10285","460","901","38","4547","634","38","9","0","0","0","0","0","0","3","0","0"
DEG_YOU_BOCES,,,,,,"-1","0","0",,,"3064","5","159","0","2","0","0","6","0","0","5","14","0","0","2124","943","1","0","0","0","0","0","0","0","0","0","17","0","16","0","0","6","3","9","0","68","1853","2993","2243","533","40","5847","225","678","32","4098","587","42","5","0","0","0","0","0","0","0","0","0"
DEG_YOU_OSHEA,,,,,,"-1","0","0",,,"4520","2","100","0","0","0","0","2","0","0","8","14","0","0","2064","838","0","0","0","0","0","0","0","0","0","0","2","0","8","0","0","0","0","4","0","506","2221","3156","1255","187","1","6848","240","519","27","2336","722","60","0","0","0","0","0","0","1","0","0","0"
DEG_YOU_JONES,,,,,,"-1","0","0",,,"3440","13","167","0","10","0","0","185","0","0","0","129","0","0","2929","2447","0","0","7","1","0","2","0","0","1","0","11","0","33","0","0","2","0","4","0","1024","1004","1127","247","36","67","7369","89","344","72","4193","529","87","5","0","0","0","0","97","0","0","0","0"
DEG_VIL,,,,,,"-1","0","0",,,"3986","7","182","0","10","0","0","156","0","0","0","123","0","0","2950","1669","0","0","7","1","0","2","0","0","1","0","16","0","28","0","0","5","0","6","0","722","798","1167","267","36","11","7895","221","787","59","3953","440","57","4","0","0","0","0","107","0","0","0","0"
SEA_HOO,,,,,,"-1","0","0",,,"5453","3","4369","0","12","3","0","3094","0","0","27","41","0","0","3754","718","11","0","56","8","0","0","0","0","2","0","546","1","0","0","0","6","240","2","0","32","1170","364","115","18","1","2926","86","264","5","1880","356","23","26","6","0","0","0","6","0","0","0","0"
MIL_HUM,,,,,,"-1","0","0",,,"3497","0","2543","4","0","178","0","1502","0","0","4","14","0","0","1410","676","0","0","550","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","2121","1496","180","30","1","6774","418","556","14","3677","324","5","0","0","0","0","0","0","0","0","0","0"
ONE_TER,,,,,,"-1","0","0",,,"2471","0","40","0","0","0","0","2","0","0","2","3","0","0","1415","2170","0","0","0","0","0","0","0","0","0","0","4","0","29","0","0","0","0","0","0","677","2390","3037","2309","797","43","4222","597","122","28","5173","1710","112","0","0","0","0","0","0","0","0","0","0"
ONE_ADO,,,,,,"-1","0","0",,,"1846","0","201","0","0","0","0","10","0","0","8","0","0","0","2186","1038","0","0","4","5","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","44","2770","278","159","46","75","11230","1765","310","85","2826","2462","40","4","0","0","0","0","7","0","0","0","0"
ONE_STA,,,,,,"-1","0","0",,,"8640","0","23","0","0","0","0","0","0","0","2","1","0","0","2199","1467","0","0","0","3","0","0","0","0","0","0","6","0","11","0","0","0","0","0","0","16","994","502","244","135","40","7664","466","250","39","2108","2681","36","0","0","0","0","0","0","0","0","0","0"
